"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"260005 Abreu e Lima";1;1;0;3;0;3;0;26;0;0;21;24;0;2;0;2;2;0;0;0;0;6;0;0;0;1;0;0;5;0;0;2;1;0;0;100
"260010 Afogados da Ingazeira";6;1;0;2;0;2;0;17;0;0;12;10;0;1;0;3;0;0;1;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;63
"260020 Afrânio";3;0;0;0;0;1;1;9;0;0;4;0;0;1;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;1;0;0;26
"260030 Agrestina";1;0;0;2;0;1;0;2;0;0;7;3;0;0;0;1;0;0;1;0;0;16;0;0;0;1;0;0;0;1;0;1;0;0;0;37
"260040 Água Preta";0;0;0;2;0;1;0;14;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;24
"260050 Águas Belas";1;0;0;2;0;1;0;13;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;3;1;0;0;1;2;0;0;29
"260060 Alagoinha";1;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260070 Aliança";1;0;0;2;0;1;0;14;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;25
"260080 Altinho";0;0;0;1;0;1;0;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;16
"260090 Amaraji";0;0;0;1;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;16
"260100 Angelim";3;0;0;1;0;2;0;6;0;0;3;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;20
"260105 Araçoiaba";0;0;0;1;0;1;0;8;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;17
"260110 Araripina";1;1;0;1;0;1;0;21;0;0;19;6;0;1;0;2;0;0;0;2;0;1;0;0;0;1;0;0;11;0;0;0;0;0;0;68
"260120 Arcoverde";1;1;0;0;1;3;0;28;0;0;29;29;0;0;0;2;0;0;1;1;0;5;1;0;0;2;0;0;16;0;0;0;1;0;0;121
"260130 Barra de Guabiraba";1;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;14
"260140 Barreiros";0;0;0;1;0;1;0;12;0;1;4;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;1;0;0;0;28
"260150 Belém de Maria";0;0;0;1;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;13
"260160 Belém do São Francisco";1;0;0;1;0;0;0;8;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;15
"260170 Belo Jardim";2;1;0;1;0;1;0;16;0;0;14;14;0;1;0;2;0;0;1;1;0;6;1;0;0;1;0;0;4;0;0;1;0;0;0;67
"260180 Betânia";1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;12
"260190 Bezerros";1;0;0;2;0;1;0;19;0;0;9;17;0;1;0;2;0;0;0;1;0;3;0;0;0;1;0;0;10;0;0;2;0;0;0;69
"260200 Bodocó";0;0;0;0;0;1;0;11;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;6;0;0;0;1;0;0;23
"260210 Bom Conselho";4;0;0;2;0;1;0;15;0;0;3;12;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;5;0;0;1;0;0;0;48
"260220 Bom Jardim";2;0;0;2;0;0;0;12;0;0;1;0;0;2;0;1;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;1;0;0;0;30
"260230 Bonito";1;0;0;1;0;0;0;12;0;0;3;1;0;1;0;1;0;0;0;1;0;2;0;0;0;1;0;0;3;1;0;1;0;0;0;29
"260240 Brejão";1;0;0;0;0;1;0;6;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;1;1;0;0;16
"260250 Brejinho";2;1;0;1;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;11
"260260 Brejo da Madre de Deus";2;1;0;1;0;0;0;13;0;0;5;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;1;2;0;0;1;32
"260270 Buenos Aires";1;0;0;1;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260280 Buíque";0;0;0;0;0;1;0;14;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;3;3;1;0;0;0;0;0;28
"260290 Cabo de Santo Agostinho";3;1;0;0;0;3;0;46;0;0;54;47;0;0;3;6;0;0;0;4;0;2;3;0;0;1;0;0;14;1;0;5;0;0;0;193
"260300 Cabrobó";3;0;0;1;0;1;0;10;0;0;2;6;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;8;1;0;0;0;0;0;0;36
"260310 Cachoeirinha";1;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;1;0;7;0;0;0;1;0;0;0;0;1;1;0;0;0;19
"260320 Caetés";1;0;0;1;0;1;0;11;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;19
"260330 Calçado";1;0;0;1;0;1;0;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260340 Calumbi";1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;8
"260345 Camaragibe";1;0;0;0;0;3;0;46;0;0;25;18;0;1;3;0;0;0;0;1;0;0;0;0;0;1;0;1;5;1;0;2;2;0;0;110
"260350 Camocim de São Félix";2;0;0;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;1;1;1;0;0;0;18
"260360 Camutanga";1;1;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;12
"260370 Canhotinho";3;0;0;1;0;1;0;11;0;0;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;25
"260380 Capoeiras";0;1;0;1;0;1;0;10;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;18
"260390 Carnaíba";3;1;0;1;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;19
"260392 Carnaubeira da Penha";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;6;0;0;1;0;1;0;0;13
"260400 Carpina";1;1;0;3;0;1;0;22;0;0;31;24;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;13;0;1;2;0;0;0;104
"260410 Caruaru";3;1;1;0;1;2;0;66;0;1;164;256;5;8;3;9;2;0;1;1;0;1;5;1;0;2;3;0;44;2;0;8;3;0;0;593
"260415 Casinhas";1;0;0;1;0;0;0;7;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;16
"260420 Catende";0;0;0;1;0;1;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;17
"260430 Cedro";1;0;0;1;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"260440 Chã de Alegria";1;0;0;1;0;0;0;6;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;14
"260450 Chã Grande";2;0;0;1;0;1;0;8;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;18
"260460 Condado";0;0;0;1;0;0;0;8;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;16
"260470 Correntes";1;0;0;1;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;14
"260480 Cortês";1;0;0;1;0;0;0;7;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;14
"260490 Cumaru";1;0;0;1;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;2;0;1;1;0;0;0;23
"260500 Cupira";1;0;0;1;0;1;0;9;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;0;0;23
"260510 Custódia";1;0;0;1;0;1;0;14;0;0;4;4;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;5;1;1;0;0;0;0;35
"260515 Dormentes";2;0;0;0;0;1;0;8;0;0;5;4;0;2;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;26
"260520 Escada";0;0;0;2;0;0;0;6;0;0;4;1;0;0;0;2;0;0;0;0;0;17;0;0;0;1;0;0;4;0;0;1;0;0;0;38
"260530 Exu";2;0;0;1;0;1;0;11;0;0;1;0;0;0;0;1;0;0;0;1;0;3;0;0;0;1;0;0;4;1;0;0;0;0;0;27
"260540 Feira Nova";1;1;0;1;0;1;0;8;0;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20
"260545 Fernando de Noronha";0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;7
"260550 Ferreiros";0;0;0;1;0;0;0;6;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;12
"260560 Flores";1;0;0;1;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;13
"260570 Floresta";1;0;0;0;0;1;0;7;0;0;1;5;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;4;1;1;0;0;0;0;0;26
"260580 Frei Miguelinho";0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12
"260590 Gameleira";0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;8;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260600 Garanhuns";2;2;0;2;1;3;0;41;0;0;28;225;7;1;2;4;1;0;1;5;0;0;0;0;0;2;1;0;29;2;0;2;0;0;2;363
"260610 Glória do Goitá";1;0;0;1;0;1;0;9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;18
"260620 Goiana";0;1;0;4;0;1;0;27;0;0;8;13;0;1;0;3;0;0;0;1;0;0;0;0;0;2;0;0;3;0;2;6;0;0;0;72
"260630 Granito";2;0;0;1;0;0;0;3;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;12
"260640 Gravatá";0;1;0;0;0;1;0;20;0;0;12;30;0;1;0;1;0;0;0;2;0;0;0;0;0;1;0;0;9;0;0;4;0;0;0;82
"260650 Iati";0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;12
"260660 Ibimirim";2;0;0;1;0;1;0;12;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;1;1;0;0;0;0;0;26
"260670 Ibirajuba";2;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;11
"260680 Igarassu";0;1;0;2;0;1;0;1;0;0;14;6;0;0;3;1;0;0;0;4;0;34;1;0;0;1;0;0;8;0;0;4;0;0;0;81
"260690 Iguaracy";1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;8
"260760 Ilha de Itamaracá";0;0;0;1;0;1;0;12;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;23
"260700 Inajá";1;0;0;1;0;1;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;3;0;1;0;0;0;0;0;19
"260710 Ingazeira";2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;7
"260720 Ipojuca";1;1;0;0;0;2;0;23;0;0;11;30;0;1;0;0;0;0;0;4;0;0;6;0;0;1;0;0;11;5;1;4;2;0;0;103
"260730 Ipubi";1;0;0;2;0;1;0;11;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;22
"260740 Itacuruba";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;5
"260750 Itaíba";1;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;15
"260765 Itambé";1;1;0;2;0;1;0;14;0;0;4;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;29
"260770 Itapetim";3;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;16
"260775 Itapissuma";1;0;0;1;0;1;0;10;0;0;4;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;2;0;0;0;24
"260780 Itaquitinga";1;0;0;1;0;1;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;14
